,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,AE242MSBRWHV5UWHSG5FCBGBQOFA,"June 4, 2020",Super strong clips and big long hook,"The clipss are exceptionally strong and a good long hook attached, useful for many things!
thanks to the seller for their excellent communication!",yes,0,5,https://www.amazon.ca/Portable-Laundry-Hanging-Stainless-clothing/dp/B013Y1YMFK/ref=cm_cr_srp_d_product_top?ie=UTF8,15:40.7,15:50.0,lynnezee,Clothing & Accessories,B002G9UDYG,B013Y1YMFK
1,AE242MSBRWHV5UWHSG5FCBGBQOFA,"February 17, 2020",ANIMAL TESTING PRODUCT,"My reason for the terrible review is because this is an ANIMAL TESTING PRODUCT. It is NOT
CRUELTY-FREE. i will not purchase again, obviously.",yes,2,1,https://www.amazon.ca/Innisfree-Orchid-Eye-Cream-30ml/dp/B00ZBFVQX4/ref=cm_cr_srp_d_product_top?ie=UTF8,15:57.1,16:06.4,lynnezee,Clothing & Accessories,B002G9UDYG,B00ZBFVQX4
2,AE242MSBRWHV5UWHSG5FCBGBQOFA,"December 14, 2019",These roses are lovely!,"These are really lovely, just like i read in the reviews. They are red but on the darker side and look so lovely under light.",yes,0,5,https://www.amazon.ca/cn-Knight-Artificial-Flower-Bridesmaid-Centerpieces/dp/B07FPH6D89/ref=cm_cr_srp_d_product_top?ie=UTF8,16:13.5,16:21.8,lynnezee,Clothing & Accessories,B002G9UDYG,B07FPH6D89
3,AE242MSBRWHV5UWHSG5FCBGBQOFA,"December 14, 2019",Adhesive velcro ...very very strong!,"These stick like glue! One they’re on, they are on for life. And the velcro is super strong.",yes,0,5,https://www.amazon.ca/BRAVESHINE-Hook-Loop-Tape-1-2x4Inch/dp/B07KQQLMQ8/ref=cm_cr_srp_d_product_top?ie=UTF8,16:30.9,16:37.2,lynnezee,Clothing & Accessories,B002G9UDYG,B07KQQLMQ8
4,AE242MSBRWHV5UWHSG5FCBGBQOFA,"December 14, 2019",IF YOU NEED the ultimate in a garbage bag....!,The real deal in plastic garbage (or whatever) bags...the absolute largest and sturdiest of all bags.,yes,0,5,https://www.amazon.ca/Aluf-Plastics-Ultrasac-Professional-Contractor/dp/B00DH4IT7C/ref=cm_cr_srp_d_product_top?ie=UTF8,16:44.3,16:51.6,lynnezee,Clothing & Accessories,B002G9UDYG,B00DH4IT7C
5,AE242MSBRWHV5UWHSG5FCBGBQOFA,"December 14, 2019","Nice warm cozy socks, but get the bigger size unless you have very tiny feet.","i purchased these, the bigger size, for my husband but they are mine now! I found the smaller size too small but this size works well, just stretch them out after drying.",yes,0,5,https://www.amazon.ca/%EF%BC%8BMD-Womens-Cushioned-Quarter-6GRY10-13/dp/B071JRQBVG/ref=cm_cr_srp_d_product_top?ie=UTF8,16:58.7,17:06.9,lynnezee,Clothing & Accessories,B002G9UDYG,B071JRQBVG
6,AE242MSBRWHV5UWHSG5FCBGBQOFA,"December 14, 2019",No scent 3 wick candle,Couldn’t smell anything so returned it. Various others from this company do have a wonderful scent but not this one....no scent to speak of.,yes,0,1,https://www.amazon.ca/Works-3-Wick-Candle-Bergamot-Waters/dp/B01N4Q92S0/ref=cm_cr_srp_d_product_top?ie=UTF8,17:15.0,17:21.3,lynnezee,Clothing & Accessories,B002G9UDYG,B01N4Q92S0
7,AE242MSBRWHV5UWHSG5FCBGBQOFA,"December 14, 2019",Very nice hat!!,My husband really likes this hat and has already worn it. It’s quite soft and well made! Love that.,yes,0,5,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,17:30.4,17:37.7,lynnezee,Clothing & Accessories,B002G9UDYG,B002G9UDYG
8,AE242MSBRWHV5UWHSG5FCBGBQOFA,"December 14, 2019",GREAT little saw tooth hangers!,"So easy to apply these hangers, the minute i got the package, i put them on several paintings and they hold very well!",yes,0,5,https://www.amazon.ca/Picture-Sawtooth-Hanging-Hangers-Equipped/dp/B073ZW5H61/ref=cm_cr_srp_d_product_top?ie=UTF8,17:46.8,17:54.0,lynnezee,Clothing & Accessories,B002G9UDYG,B073ZW5H61
9,AE242MSBRWHV5UWHSG5FCBGBQOFA,"December 14, 2019",Very comfortable 3” topper!!,i bought the 3” topper and find it very good! i hardly know it’s there but it’s providing relief for some pressure point problems. It’s very comfy!,yes,0,5,https://www.amazon.ca/Lucid-3-Inch-Memory-Mattress-Topper-Twin/dp/B01H2OCWOI/ref=cm_cr_srp_d_product_top?ie=UTF8,18:04.1,18:12.4,lynnezee,Clothing & Accessories,B002G9UDYG,B01H2OCWOI
