,id,date_review_posted,review_title,review,verified_purchase,people_find_helpful,ratings,product_url,start,end,author,product_category
0,AHX4NHMAMUN7RF42SHVIDM2KE6KA,"August 18, 2020",Bon pour imprimer les retours Amazon !,Le shipping Label seras tres petit. Mais fonctionne au bureau de post ici au quebec. Le code scan ne fonctionnera pas mais les chiffres sont lisible. Alors la commis de poste doit se plisser les yeux loll.Mais pour le prix. Ca vaux la chandelle !,yes,0,5.0,https://www.amazon.ca/Aibecy-GOOJPRT-PeriPage-Wireless-Smartphone/dp/B07Q5FFKKM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:38:01.841881,2020-09-14 03:38:10.147899,Darkusein,Electronics
1,AHX4NHMAMUN7RF42SHVIDM2KE6KA,"August 18, 2020",Impressive,Jusqu'a maintenant...Il va tres bien. Rapide. Image tres clair. Touchscreen sensible. Leger. Pre-installation genial. Ma redonner confiance apres ma desastreuse experience d'un Acer (Maintenant retourner) acheter sur Amazon.,no,One,5.0,https://www.amazon.ca/15-6-Notebook-Ultrabook-Lightweight-Computer/dp/B08C9WZLWH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:38:17.246246,2020-09-14 03:38:23.508018,Darkusein,Electronics
2,AHX4NHMAMUN7RF42SHVIDM2KE6KA,"July 28, 2020",Sorry Amazon,"Try everything on my laptop to gets those speakers to have better sound and loudness. Fail ! I am going back with my old speaker looking around here to buy something better. Love AmazonBasic in general..... But for now, i am not happy . First time i have to get a refund :/",yes,0,2.0,https://www.amazon.ca/AmazonBasics-Computer-Speakers-Desktop-USB-Powered/dp/B07D7TV5J3/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:38:33.607534,2020-09-14 03:38:41.888199,Darkusein,Electronics
3,AHX4NHMAMUN7RF42SHVIDM2KE6KA,"July 28, 2020",wow,I am gonna buy another one,yes,0,5.0,https://www.amazon.ca/Metal-Leather-Pendant-Necklace-Inches/dp/B01DDAZT3Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:38:49.983092,2020-09-14 03:38:59.228189,Darkusein,Electronics
4,AHX4NHMAMUN7RF42SHVIDM2KE6KA,"July 28, 2020",Super,Wide and perfect,yes,0,5.0,https://www.amazon.ca/InterDesign-Mildew-Free-Gauge-Shower-Liner/dp/B06XPH3WW3/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:39:08.325311,2020-09-14 03:39:14.658898,Darkusein,Electronics
5,AHX4NHMAMUN7RF42SHVIDM2KE6KA,"July 26, 2020",Not cheap,I have install it on my bathroom door in my garage. Look industrial. I love it,yes,0,5.0,https://www.amazon.ca/Reliable-Hardware-Company-RH-0540-2-Handle/dp/B00JQYVJRO/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:39:24.756578,2020-09-14 03:39:34.049520,Darkusein,Electronics
6,AHX4NHMAMUN7RF42SHVIDM2KE6KA,"July 25, 2020",Impress,"High quality, The touch system is so soft and impressive",yes,0,5.0,https://www.amazon.ca/Dimmable-Brightness-Touch-Switch-Portable-Gooseneck/dp/B088JRKLH7/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:39:44.144930,2020-09-14 03:39:53.423216,Darkusein,Electronics
7,AHX4NHMAMUN7RF42SHVIDM2KE6KA,"July 25, 2020",Just wow,Better looking in real !,yes,0,5.0,https://www.amazon.ca/PEIs-Vintage-Castrol-Garage-20x30cm/dp/B07HRYZ6J4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:40:00.517254,2020-09-14 03:40:09.771701,Darkusein,Electronics
8,AHX4NHMAMUN7RF42SHVIDM2KE6KA,"July 25, 2020",Heavy Duty,Very Happy,yes,0,5.0,https://www.amazon.ca/Vintage-Antlers-Comfify-Antique-CA-1507-26/dp/B012YKZ404/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:40:17.863312,2020-09-14 03:40:26.144010,Darkusein,Electronics
9,AHX4NHMAMUN7RF42SHVIDM2KE6KA,"July 23, 2020",Just wow,Nice quality for the price ..Do perfectly the job !! My acer Acer Aspire 1 A115-31-C2Y3 fit perfect !!! Thank you,no,0,5.0,https://www.amazon.ca/AmazonBasics-15-6-Inch-Laptop-Tablet-Bag/dp/B00DUGZFWY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:40:34.240383,2020-09-14 03:40:43.524647,Darkusein,Electronics
10,AHX4NHMAMUN7RF42SHVIDM2KE6KA,"July 23, 2020",Just wow,Fits perfect for Seagate Backup Plus Disque dur externe portable 1 To 4TB . Hard case for a simple awesome price. What u want more ? :D Go buy this now,yes,0,5.0,https://www.amazon.ca/AmazonBasics-External-Hard-Drive-Case/dp/B00F5CKWBA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:40:52.619916,2020-09-14 03:41:00.907535,Darkusein,Electronics
