,id,date_review_posted,review_title,review,verified_purchase,people_find_helpful,ratings,product_url,start,end,author,product_category
0,AHIWIZDVA5KWVLGRE2IHBRFSVKXA,"July 17, 2020",Great for student,"Bought this laptop for a student, the battery life is great, I was pretty much impress bu this laptop.
not so much for the Windows 10 in S mode, which mean you are not able to download anything that is not on the windows store, forget Chrome and Firefox browser, unless you visit Microsoft store and download the app and disable the S mode, great to have 12 months of Office 365 free. would I recommend this laptop top? to a student and light usage like movies and browsing, text editing yes, definitely fits the student budget.",yes,6,5.0,https://www.amazon.ca/Acer-Aspire-Celeron-Windows-A115-31-C2Y3/dp/B086XXW87C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 00:00:06.976338,2020-09-14 00:00:15.241274,TechnoMan,Electronics
1,AHIWIZDVA5KWVLGRE2IHBRFSVKXA,"April 27, 2020",Not recommended.,"What can I say, cheaply made and the whole point is to be able to mesure ingrédients properly, it is very difficult to see the engraving on these. I guess I got for what I paid for.",yes,0,2.0,https://www.amazon.ca/ChefLand-8-Piece-Stainless-Measuring-Cooking/dp/B004WMP03E/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 00:00:22.321517,2020-09-14 00:00:28.590999,TechnoMan,Electronics
2,AHIWIZDVA5KWVLGRE2IHBRFSVKXA,"April 24, 2020",shipping,A+++ shipping!,no,0,5.0,https://www.amazon.ca/COFFEE-MATE-Powder-Original-Whitener-Canister/dp/B006SQDQOC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 00:00:36.672710,2020-09-14 00:00:44.906827,TechnoMan,Electronics
3,AHIWIZDVA5KWVLGRE2IHBRFSVKXA,"April 18, 2020",does the job,has not let me down.,yes,0,5.0,https://www.amazon.ca/ELEGIANT-Transfer-Charging-Separated-Compatible/dp/B06XK5BBT9/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 00:00:51.983019,2020-09-14 00:00:59.224019,TechnoMan,Electronics
4,AHIWIZDVA5KWVLGRE2IHBRFSVKXA,"April 18, 2020",great heater,"Perfect, it worked as intended in the cold January, February cold day, saved $$ on my regular electric heating system.",no,0,5.0,https://www.amazon.ca/PELONIS-NY1507-14A-Digital-Radiator-Control/dp/B01LEHPM7I/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 00:01:07.304915,2020-09-14 00:01:15.540365,TechnoMan,Electronics
5,AHIWIZDVA5KWVLGRE2IHBRFSVKXA,"April 12, 2020",Great tv stick,"I like the TV stick you can watch tons of TV - movie but what is annoying me is those ""ADS"" that Amazon keep throwing before a movie or a TV show.. Why??? isn't called ""Prime video""?? Loose the ads Amazon.
And bring the Discovery Channel to your lineup of TV show.",yes,0,5.0,https://www.amazon.ca/Fire-TV-Stick-with-All-New-Alexa-Voice-Remote/dp/B0791Z1G6W/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 00:01:23.621249,2020-09-14 00:01:29.894619,TechnoMan,Electronics
6,AHIWIZDVA5KWVLGRE2IHBRFSVKXA,"April 12, 2020",great price,Good to store data not recommendable to be used for gaming.,no,0,4.0,https://www.amazon.ca/Seagate-Barracuda-Internal-Drive-3-5-Inch/dp/B07D9C7SQH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 00:01:37.972074,2020-09-14 00:01:45.196039,TechnoMan,Electronics
7,AHIWIZDVA5KWVLGRE2IHBRFSVKXA,"April 12, 2020",great product,for the size it is perfect for my laptop,yes,0,5.0,https://www.amazon.ca/SanDisk-256GB-Ultra-Flash-Drive/dp/B07857Y17V/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 00:01:53.280322,2020-09-14 00:02:02.542107,TechnoMan,Electronics
8,AHIWIZDVA5KWVLGRE2IHBRFSVKXA,"April 12, 2020",inside plastic ring feep on falling off,not as strong as it was mentioned. have to push a small plastic ring back otherwise it does not stay together.,yes,0,2.0,https://www.amazon.ca/Master-Lock-265DCCSEN-Dual-Function-Security/dp/B0002YUX8I/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 00:02:12.622419,2020-09-14 00:02:18.861297,TechnoMan,Electronics
9,AHIWIZDVA5KWVLGRE2IHBRFSVKXA,"April 12, 2020",made poorly,"the inside panel was hot glued and feel off, had to epoxy to fix.",yes,0,2.0,https://www.amazon.ca/Zaracle-Hard-Travelling-Case-Cosmos/dp/B082HX6S25/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 00:02:28.941359,2020-09-14 00:02:36.202318,TechnoMan,Electronics
10,AHIWIZDVA5KWVLGRE2IHBRFSVKXA,"December 25, 2019",***Support for Windows 7 is nearing the end***,"When Windows 7 reaches end of support on January 14, 2020, your computer will still function but Microsoft will no longer provide the following:

Technical support for any issues
Software updates
Security updates or fixes
While you could continue to use your PC running Windows 7, without continued software and security updates, it will be at greater risk for viruses and malware.

Invest in Windows 10 if you have not done so already.",no,0,5.0,https://www.amazon.ca/Windows-Professional-64bit-System-Builder/dp/B004Q0T0LU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 00:02:45.283708,2020-09-14 00:02:53.502703,TechnoMan,Electronics
