,subproduct_author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,brand_name,rank,product_id,author_id,subproduct_id
0,AHQ7IZNKHXH2DAXL3NQKIG4IE5WA,True,Thick and warm and not fake,I bought one of those cheap fake Carhartt hats from amazon a few months back and could not have been more disappointed. After doing a little research I found that this hat was the real thing and worth every penny. I work in the North and its minus 54 degrees celsius today with the windchill so having a warm hat is a must. This REAL carhartt hat might cost a little more then those cheap knock offs floating around but you get what you pay for. I tossed the other one and am happy with this purchase. Its thick and warm and worth the few extra bucks.,"March 28, 2020",Matt Spurrell,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHQ7IZNKHXH2DAXL3NQKIG4IE5WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:29:41.814856,2020-10-06 01:29:42.086099,Carhartt Mens Woodside Acrylic Hat Beanie Hat,Carhartt,"8,031",B002G9UDYG,AFXCOA3QATHO76LR7UQTMEUYF4YQ,B07BDZ6Z8Q
1,AF45CK2JPIUTLTEXZAH65S5CBESQ,True,Good for big domes,My dome is so large that anything hat or helmet related is always a problem. Most of the beanies i have tried on here are way too small but this one os pretty perfect. Stretches and fits my giant head very nicely,"March 13, 2020",John,5.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AF45CK2JPIUTLTEXZAH65S5CBESQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:29:42.095862,2020-10-06 01:29:42.381026,Carhartt Mens Woodside Acrylic Hat Beanie Hat,Carhartt,"8,031",B002G9UDYG,AFXCOA3QATHO76LR7UQTMEUYF4YQ,B07BDZ6Z8Q
2,AE4A5SVYHSU63TPFPZZ44OSMDH7Q,True,Amazing Winter Cap,"A little smaller than expected, but honestly it’s a really well made beanie, so it’s not an issue. Never had my head go cold in our Alberta winters while wearing this.","May 19, 2020",Chuckless,5.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AE4A5SVYHSU63TPFPZZ44OSMDH7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:29:42.390786,2020-10-06 01:29:42.664699,Carhartt Mens Woodside Acrylic Hat Beanie Hat,Carhartt,"8,031",B002G9UDYG,AFXCOA3QATHO76LR7UQTMEUYF4YQ,B07BDZ6Z8Q
3,AGNVDPVYXXKGFOFCCT4BDVKI2NRA,True,A bit too big,Its a bit too tall but not too wide for an average head. Should fit everybody with some adjustment. Very well made in the USA which is very refreshing and ethical!,"September 24, 2020",DACO Technology,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGNVDPVYXXKGFOFCCT4BDVKI2NRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:29:42.671530,2020-10-06 01:29:42.890700,Carhartt Mens Woodside Acrylic Hat Beanie Hat,Carhartt,"8,031",B002G9UDYG,AFXCOA3QATHO76LR7UQTMEUYF4YQ,B07BDZ6Z8Q
4,AHZLFK2RCI4L2M2XIPWGEGGQJVZQ,True,Loose stitch on day one,"I had just opened this item on 03/11/2019 and unfortunately there's immediately a loose knit and I fear it will turn into a weak spot/point of failure over time. Other than that the hat is fantastic and really comfy, just not sure how long it is going to last.","November 3, 2019",Colin,1.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AHZLFK2RCI4L2M2XIPWGEGGQJVZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:29:42.907291,2020-10-06 01:29:43.082972,Carhartt Mens Woodside Acrylic Hat Beanie Hat,Carhartt,"8,031",B002G9UDYG,AFXCOA3QATHO76LR7UQTMEUYF4YQ,B07BDZ6Z8Q
5,AFFZSCALC2KIALFGNM2GHRVLRCYA,True,Almost perfect since it doesn’t stop wind,Almost perfect since it doesn’t stop wind from cutting through the toque. Ears get a bit cold during windy days in winter.,"April 3, 2020",Ryan,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFFZSCALC2KIALFGNM2GHRVLRCYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:29:43.088827,2020-10-06 01:29:43.258210,Carhartt Mens Woodside Acrylic Hat Beanie Hat,Carhartt,"8,031",B002G9UDYG,AFXCOA3QATHO76LR7UQTMEUYF4YQ,B07BDZ6Z8Q
6,AEJ67XIGRBIVTZPQ6SG5CHQEUAMA,True,Fits a little small,"Great quality, but a little tight on my head -- I wear a 7 3/8"" fitted hat. Good price too.","May 18, 2020",Andy H,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEJ67XIGRBIVTZPQ6SG5CHQEUAMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:29:43.264385,2020-10-06 01:29:43.448877,Carhartt Mens Woodside Acrylic Hat Beanie Hat,Carhartt,"8,031",B002G9UDYG,AFXCOA3QATHO76LR7UQTMEUYF4YQ,B07BDZ6Z8Q
7,AE5E7REV5L5SWMTOKXIV3D4KGGEQ,True,Love it,Very cozy and warm for cold days. Lots of stretch in it so I'm sure it would fit anyone!,"January 15, 2020",Justin K,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AE5E7REV5L5SWMTOKXIV3D4KGGEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:29:43.454706,2020-10-06 01:29:43.623178,Carhartt Mens Woodside Acrylic Hat Beanie Hat,Carhartt,"8,031",B002G9UDYG,AFXCOA3QATHO76LR7UQTMEUYF4YQ,B07BDZ6Z8Q
8,AFVUBFXZUELZ5LWFQPE5LFJ3Q4TA,True,My son like it,For winter purpose,"January 6, 2020",Amazon Customer,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFVUBFXZUELZ5LWFQPE5LFJ3Q4TA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:29:43.629035,2020-10-06 01:29:43.772711,Carhartt Mens Woodside Acrylic Hat Beanie Hat,Carhartt,"8,031",B002G9UDYG,AFXCOA3QATHO76LR7UQTMEUYF4YQ,B07BDZ6Z8Q
9,AFXCOA3QATHO76LR7UQTMEUYF4YQ,True,Very warm,Nice and warm. Fits my big ish head nicely,"February 17, 2020",Alex,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFXCOA3QATHO76LR7UQTMEUYF4YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:29:43.777590,2020-10-06 01:29:43.943566,Carhartt Mens Woodside Acrylic Hat Beanie Hat,Carhartt,"8,031",B002G9UDYG,AFXCOA3QATHO76LR7UQTMEUYF4YQ,B07BDZ6Z8Q
